R1,R2,SampleDate,PlotNr,Microhabitat,Surface_Subsurface,Grass_Interspace,Notes,Treatment,,
A24_10SG_S841_L001_R1_001.fastq.gz,A24_10SG_S841_L001_R2_001.fastq.gz,Aug_2024,10,SG,S,G,,N+Water,,
A24_10SI_S843_L001_R1_001.fastq.gz,A24_10SI_S843_L001_R2_001.fastq.gz,Aug_2024,10,SI,S,I,,N+Water,,
A24_10SSG_S842_L001_R1_001.fastq.gz,A24_10SSG_S842_L001_R2_001.fastq.gz,Aug_2024,10,SSG,SS,G,,N+Water,,
A24_10SSI_S844_L001_R1_001.fastq.gz,A24_10SSI_S844_L001_R2_001.fastq.gz,Aug_2024,10,SSI,SS,I,,N+Water,,
A24_11SG_S845_L001_R1_001.fastq.gz,A24_11SG_S845_L001_R2_001.fastq.gz,Aug_2024,11,SG,S,G,,Water,,
A24_11SI_S847_L001_R1_001.fastq.gz,A24_11SI_S847_L001_R2_001.fastq.gz,Aug_2024,11,SI,S,I,,Water,,
A24_11SSG_S846_L001_R1_001.fastq.gz,A24_11SSG_S846_L001_R2_001.fastq.gz,Aug_2024,11,SSG,SS,G,,Water,,
A24_11SSI_S848_L001_R1_001.fastq.gz,A24_11SSI_S848_L001_R2_001.fastq.gz,Aug_2024,11,SSI,SS,I,,Water,,
A24_12SG_S849_L001_R1_001.fastq.gz,A24_12SG_S849_L001_R2_001.fastq.gz,Aug_2024,12,SG,S,G,,Control,,
A24_12SI_S851_L001_R1_001.fastq.gz,A24_12SI_S851_L001_R2_001.fastq.gz,Aug_2024,12,SI,S,I,,Control,,
A24_12SSG_S850_L001_R1_001.fastq.gz,A24_12SSG_S850_L001_R2_001.fastq.gz,Aug_2024,12,SSG,SS,G,,Control,,
A24_12SSI_S852_L001_R1_001.fastq.gz,A24_12SSI_S852_L001_R2_001.fastq.gz,Aug_2024,12,SSI,SS,I,,Control,,
A24_13SG_S853_L001_R1_001.fastq.gz,A24_13SG_S853_L001_R2_001.fastq.gz,Aug_2024,13,SG,S,G,,N,,
A24_13SI_S855_L001_R1_001.fastq.gz,A24_13SI_S855_L001_R2_001.fastq.gz,Aug_2024,13,SI,S,I,,N,,
A24_13SSG_S854_L001_R1_001.fastq.gz,A24_13SSG_S854_L001_R2_001.fastq.gz,Aug_2024,13,SSG,SS,G,,N,,
A24_13SSI_S856_L001_R1_001.fastq.gz,A24_13SSI_S856_L001_R2_001.fastq.gz,Aug_2024,13,SSI,SS,I,,N,,
A24_14SG_S857_L001_R1_001.fastq.gz,A24_14SG_S857_L001_R2_001.fastq.gz,Aug_2024,14,SG,S,G,,Control,,
A24_14SI_S859_L001_R1_001.fastq.gz,A24_14SI_S859_L001_R2_001.fastq.gz,Aug_2024,14,SI,S,I,,Control,,
A24_14SSG_S858_L001_R1_001.fastq.gz,A24_14SSG_S858_L001_R2_001.fastq.gz,Aug_2024,14,SSG,SS,G,,Control,,
A24_14SSI_S860_L001_R1_001.fastq.gz,A24_14SSI_S860_L001_R2_001.fastq.gz,Aug_2024,14,SSI,SS,I,,Control,,
A24_15SG_S861_L001_R1_001.fastq.gz,A24_15SG_S861_L001_R2_001.fastq.gz,Aug_2024,15,SG,S,G,,Water,,
A24_15SI_S863_L001_R1_001.fastq.gz,A24_15SI_S863_L001_R2_001.fastq.gz,Aug_2024,15,SI,S,I,,Water,,
A24_15SSG_S862_L001_R1_001.fastq.gz,A24_15SSG_S862_L001_R2_001.fastq.gz,Aug_2024,15,SSG,SS,G,,Water,,
A24_15SSI_S864_L001_R1_001.fastq.gz,A24_15SSI_S864_L001_R2_001.fastq.gz,Aug_2024,15,SSI,SS,I,,Water,,
